"vuln_id","url","package","version_local","severity","grype","osv","sum","sortcol"
"CVE-2014-9817","https://nvd.nist.gov/vuln/detail/CVE-2014-9817","imagemagick","7.1.1-29","7.8","1","0","1","2014A0000009817"
"CVE-2014-9816","https://nvd.nist.gov/vuln/detail/CVE-2014-9816","imagemagick","7.1.1-29","5.5","1","0","1","2014A0000009816"
"CVE-2014-9815","https://nvd.nist.gov/vuln/detail/CVE-2014-9815","imagemagick","7.1.1-29","5.5","1","0","1","2014A0000009815"
"CVE-2014-9814","https://nvd.nist.gov/vuln/detail/CVE-2014-9814","imagemagick","7.1.1-29","5.5","1","0","1","2014A0000009814"
"CVE-2014-9813","https://nvd.nist.gov/vuln/detail/CVE-2014-9813","imagemagick","7.1.1-29","5.5","1","0","1","2014A0000009813"
"CVE-2014-9812","https://nvd.nist.gov/vuln/detail/CVE-2014-9812","imagemagick","7.1.1-29","5.5","1","0","1","2014A0000009812"
"CVE-2014-9811","https://nvd.nist.gov/vuln/detail/CVE-2014-9811","imagemagick","7.1.1-29","5.5","1","0","1","2014A0000009811"
"CVE-2014-9810","https://nvd.nist.gov/vuln/detail/CVE-2014-9810","imagemagick","7.1.1-29","5.5","1","0","1","2014A0000009810"
"CVE-2014-9809","https://nvd.nist.gov/vuln/detail/CVE-2014-9809","imagemagick","7.1.1-29","5.5","1","0","1","2014A0000009809"
"CVE-2014-9808","https://nvd.nist.gov/vuln/detail/CVE-2014-9808","imagemagick","7.1.1-29","5.5","1","0","1","2014A0000009808"
"CVE-2014-9807","https://nvd.nist.gov/vuln/detail/CVE-2014-9807","imagemagick","7.1.1-29","5.5","1","0","1","2014A0000009807"
"CVE-2014-9806","https://nvd.nist.gov/vuln/detail/CVE-2014-9806","imagemagick","7.1.1-29","5.5","1","0","1","2014A0000009806"
"CVE-2014-9805","https://nvd.nist.gov/vuln/detail/CVE-2014-9805","imagemagick","7.1.1-29","5.5","1","0","1","2014A0000009805"
"CVE-2014-9804","https://nvd.nist.gov/vuln/detail/CVE-2014-9804","imagemagick","7.1.1-29","7.5","1","0","1","2014A0000009804"
"CVE-2013-2838","https://nvd.nist.gov/vuln/detail/CVE-2013-2838","v8","9.7.106.18","","1","0","1","2013A0000002838"
"CVE-2011-5037","https://nvd.nist.gov/vuln/detail/CVE-2011-5037","v8","9.7.106.18","","1","0","1","2011A0000005037"
"CVE-2011-3886","https://nvd.nist.gov/vuln/detail/CVE-2011-3886","v8","9.7.106.18","","1","0","1","2011A0000003886"
"CVE-2010-4226","https://nvd.nist.gov/vuln/detail/CVE-2010-4226","cpio","2.15","","1","0","1","2010A0000004226"
